step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
684,0.60872,0.86957,,
685,0.31972,0.91667,,
686,0.37583,0.88571,,
687,0.35791,0.94118,,
688,1.05807,0.6,,
689,0.00859,1.0,,
690,0.22224,0.875,,
691,0.04623,1.0,,
692,0.0577,1.0,,
693,0.00407,1.0,,
694,0.05283,1.0,,
695,0.2987,0.92,,
696,1.06319,0.74419,,
697,0.92622,0.80597,,
698,0.00013,1.0,,
699,0.22797,0.85714,,
700,0.00554,1.0,,
701,0.06288,1.0,,
702,0.03053,1.0,,
703,0.34357,0.875,,
704,0.09561,1.0,,
705,0.00059,1.0,,
706,0.00559,1.0,,
707,0.30622,0.92593,,
708,0.00028,1.0,,
709,0.08669,0.94118,,
710,0.12747,0.94118,,
711,0.07397,1.0,,
712,0.27382,0.90909,,
713,0.36908,0.95455,,
714,0.04228,1.0,,
715,0.63898,0.81633,,
716,0.80871,0.85,,
717,0.12044,0.94118,,
718,0.00616,1.0,,
719,0.00932,1.0,,
720,0.08557,0.92308,,
721,0.00266,1.0,,
722,0.01101,1.0,,
723,0.00246,1.0,,
724,0.04252,1.0,,
725,0.22469,0.93878,,
726,0.13203,0.92593,,
727,0.03268,1.0,,
728,0.0,1.0,,
729,0.12,0.94737,,
730,0.0585,1.0,,
731,1e-05,1.0,,
732,0.24044,0.86667,,
733,0.54505,0.92857,,
734,0.55234,0.77778,,
735,0.01293,1.0,,
736,0.0001,1.0,,
737,1.06988,0.74468,,
738,0.11477,0.95,,
739,0.19644,0.9375,,
740,0.01809,1.0,,
741,0.00021,1.0,,
742,0.9871,0.78571,,
743,0.04174,0.97222,,
744,0.003,1.0,,
745,0.04409,1.0,,
746,0.08406,1.0,,
747,0.01218,1.0,,
748,0.00041,1.0,,
749,0.05992,1.0,,
750,0.1319,0.9,,
751,0.00363,1.0,,
752,0.01065,1.0,,
753,0.19793,0.91429,,
754,0.00302,1.0,,
755,0.06151,0.95652,,
756,1.3174,0.68966,,
757,0.48997,0.90566,,
758,2e-05,1.0,,
759,0.81813,0.83929,,
760,0.00461,1.0,,
761,1.07165,0.78571,,
762,0.1515,0.91667,,
763,0.21514,0.90476,,
764,0.6148,0.76923,,
765,0.24001,0.9,,
766,0.02001,1.0,,
767,0.21365,0.92308,,
768,0.01063,1.0,,
769,0.2358,0.94828,,
770,0.00867,1.0,,
771,0.14457,0.94643,,
772,0.07031,0.96875,,
773,0.55374,0.95238,,
774,0.04215,0.98039,,
775,0.04359,1.0,,
776,1.38532,0.8125,,
777,0.06382,0.975,,
778,0.0,1.0,,
779,0.00076,1.0,,
780,0.01785,1.0,,
781,1.25839,0.72845,,
782,0.20074,0.93939,,
783,0.02789,1.0,,
784,0.97121,0.725,,
785,0.021,1.0,,
786,0.07481,0.95455,,
787,0.07678,1.0,,
788,0.13644,0.96875,,
789,1.04929,0.76923,,
790,0.13329,0.9375,,
791,0.00282,1.0,,
792,0.01383,1.0,,
793,0.65684,0.875,,
794,0.81272,0.71429,,
795,0.0,1.0,,
796,1e-05,1.0,,
797,0.35663,0.93333,,
798,0.80545,0.77193,,
